tz,ty,diff,city
Asia/Samarkand,Canonical,+05:00,Samarkand
Asia/Seoul,Canonical,+09:00,Seoul
Asia/Shanghai,Canonical,+08:00,Shanghai
Asia/Singapore,Canonical,+08:00,Singapore
Asia/Srednekolymsk,Canonical,+11:00,Srednekolymsk
Asia/Taipei,Canonical,+08:00,Taipei
Asia/Tashkent,Canonical,+05:00,Tashkent
Asia/Tbilisi,Canonical,+04:00,Tbilisi
Asia/Tehran,Canonical,+03:30,Tehran
Asia/Thimphu,Canonical,+06:00,Thimphu
Asia/Tokyo,Canonical,+09:00,Tokyo
Asia/Tomsk,Canonical,+07:00,Tomsk
Asia/Ulaanbaatar,Canonical,+08:00,Ulaanbaatar
Asia/Urumqi,Canonical,+06:00,Urumqi
Asia/Ust-Nera,Canonical,+10:00,Ust-Nera
Asia/Vientiane,Alias,+07:00,Vientiane
Asia/Vladivostok,Canonical,+10:00,Vladivostok
Asia/Yakutsk,Canonical,+09:00,Yakutsk
Asia/Yangon,Canonical,+06:30,Yangon
Asia/Yekaterinburg,Canonical,+05:00,Yekaterinburg
Asia/Yerevan,Canonical,+04:00,Yerevan
Atlantic/Azores,Canonical,-01:00,Azores
Atlantic/Bermuda,Canonical,-04:00,Bermuda
Atlantic/Canary,Canonical,+00:00,Canary
Atlantic/Cape_Verde,Canonical,-01:00,Cape Verde
Atlantic/Faroe,Canonical,+00:00,Faroe
Atlantic/Madeira,Canonical,+00:00,Madeira
Atlantic/Reykjavik,Canonical,+00:00,Reykjavik
Atlantic/South_Georgia,Canonical,-02:00,South Georgia
Atlantic/St_Helena,Alias,+00:00,St Helena
Atlantic/Stanley,Canonical,-03:00,Stanley
Australia/Adelaide,Canonical,+09:30,Adelaide
Australia/Brisbane,Canonical,+10:00,Brisbane
Australia/Broken_Hill,Canonical,+09:30,Broken Hill
Australia/Currie,Canonical,+10:00,Currie
Australia/Darwin,Canonical,+09:30,Darwin
Australia/Eucla,Canonical,+08:45,Eucla
Australia/Hobart,Canonical,+10:00,Hobart
Australia/Lindeman,Canonical,+10:00,Lindeman
Australia/Lord_Howe,Canonical,+10:30,Lord Howe
Australia/Melbourne,Canonical,+10:00,Melbourne
Australia/Perth,Canonical,+08:00,Perth
Australia/Sydney,Canonical,+10:00,Sydney
Etc/GMT,Canonical,+00:00,
Etc/GMT+0,Alias,+00:00,
Etc/GMT+1,Canonical,-01:00,
Etc/GMT+10,Canonical,-10:00,
Etc/GMT+11,Canonical,-11:00,
Etc/GMT+12,Canonical,-12:00,
Etc/GMT+2,Canonical,-02:00,
Etc/GMT+3,Canonical,-03:00,
Etc/GMT+4,Canonical,-04:00,
Etc/GMT+5,Canonical,-05:00,
Etc/GMT+6,Canonical,-06:00,
Etc/GMT+7,Canonical,-07:00,
Etc/GMT+8,Canonical,-08:00,
Etc/GMT+9,Canonical,-09:00,
Etc/GMT-0,Alias,+00:00,
Etc/GMT-1,Canonical,+01:00,
Etc/GMT-10,Canonical,+10:00,
Etc/GMT-11,Canonical,+11:00,
Etc/GMT-12,Canonical,+12:00,
Etc/GMT-13,Canonical,+13:00,
Etc/GMT-14,Canonical,+14:00,
Etc/GMT-2,Canonical,+02:00,
Etc/GMT-3,Canonical,+03:00,
Etc/GMT-4,Canonical,+04:00,
Etc/GMT-5,Canonical,+05:00,
Etc/GMT-6,Canonical,+06:00,
Etc/GMT-7,Canonical,+07:00,
Etc/GMT-8,Canonical,+08:00,
Etc/GMT-9,Canonical,+09:00,
Etc/GMT0,Alias,+00:00,
Etc/UTC,Canonical,+00:00,
Europe/Amsterdam,Canonical,+01:00,Amsterdam
Europe/Andorra,Canonical,+01:00,Andorra
Europe/Astrakhan,Canonical,+04:00,Astrakhan
Europe/Athens,Canonical,+02:00,Athens
Europe/Belgrade,Canonical,+01:00,Belgrade
Europe/Berlin,Canonical,+01:00,Berlin
Europe/Bratislava,Alias,+01:00,Bratislava
Europe/Brussels,Canonical,+01:00,Brussels
Europe/Bucharest,Canonical,+02:00,Bucharest
Europe/Budapest,Canonical,+01:00,Budapest
Europe/Busingen,Alias,+01:00,Busingen
Europe/Chisinau,Canonical,+02:00,Chisinau
Europe/Copenhagen,Canonical,+01:00,Copenhagen
Europe/Dublin,Canonical,+01:00,Dublin
Europe/Gibraltar,Canonical,+01:00,Gibraltar
Europe/Guernsey,Alias,+00:00,Guernsey
Europe/Helsinki,Canonical,+02:00,Helsinki
Europe/Isle_of_Man,Alias,+00:00,Isle of Man
Europe/Istanbul,Canonical,+03:00,Istanbul
Europe/Jersey,Alias,+00:00,Jersey
Europe/Kaliningrad,Canonical,+02:00,Kaliningrad
Europe/Kiev,Canonical,+02:00,Kiev
Europe/Kirov,Canonical,+03:00,Kirov
Europe/Lisbon,Canonical,+00:00,Lisbon
Europe/Ljubljana,Alias,+01:00,Ljubljana
Europe/London,Canonical,+00:00,London
Europe/Luxembourg,Canonical,+01:00,Luxembourg
Europe/Madrid,Canonical,+01:00,Madrid
Europe/Malta,Canonical,+01:00,Malta
Europe/Mariehamn,Alias,+02:00,Mariehamn
Europe/Minsk,Canonical,+03:00,Minsk
Europe/Monaco,Canonical,+01:00,Monaco
Europe/Moscow,Canonical,+03:00,Moscow
Europe/Nicosia,Alias,+02:00,Nicosia
Europe/Oslo,Canonical,+01:00,Oslo
Europe/Paris,Canonical,+01:00,Paris
Europe/Podgorica,Alias,+01:00,Podgorica
Europe/Prague,Canonical,+01:00,Prague
Europe/Riga,Canonical,+02:00,Riga
Europe/Rome,Canonical,+01:00,Rome
Europe/Samara,Canonical,+04:00,Samara
Europe/San_Marino,Alias,+01:00,San Marino
Europe/Sarajevo,Alias,+01:00,Sarajevo
Europe/Saratov,Canonical,+04:00,Saratov
Europe/Simferopol,Canonical,+03:00,Simferopol
Europe/Skopje,Alias,+01:00,Skopje
Europe/Sofia,Canonical,+02:00,Sofia
Europe/Stockholm,Canonical,+01:00,Stockholm
Europe/Tallinn,Canonical,+02:00,Tallinn
Europe/Tirane,Canonical,+01:00,Tirane
Europe/Ulyanovsk,Canonical,+04:00,Ulyanovsk
Europe/Uzhgorod,Canonical,+02:00,Uzhgorod
Europe/Vaduz,Alias,+01:00,Vaduz
Europe/Vatican,Alias,+01:00,Vatican
Europe/Vienna,Canonical,+01:00,Vienna
Europe/Vilnius,Canonical,+02:00,Vilnius
Europe/Volgograd,Canonical,+04:00,Volgograd
Europe/Warsaw,Canonical,+01:00,Warsaw
Europe/Zagreb,Alias,+01:00,Zagreb
Europe/Zaporozhye,Canonical,+02:00,Zaporozhye
Europe/Zurich,Canonical,+01:00,Zurich
Factory,Canonical,+00:00,Factory
GMT,Alias,+00:00,
Indian/Antananarivo,Alias,+03:00,Antananarivo
Indian/Chagos,Canonical,+06:00,Chagos
Indian/Christmas,Canonical,+07:00,Christmas
Indian/Cocos,Canonical,+06:30,Cocos
Indian/Comoro,Alias,+03:00,Comoro
Indian/Kerguelen,Canonical,+05:00,Kerguelen
Indian/Mahe,Canonical,+04:00,Mahe
Indian/Maldives,Canonical,+05:00,Maldives
Indian/Mauritius,Canonical,+04:00,Mauritius
Indian/Mayotte,Alias,+03:00,Mayotte
Indian/Reunion,Canonical,+04:00,Reunion
Pacific/Apia,Canonical,+13:00,Apia
Pacific/Auckland,Canonical,+12:00,Auckland
Pacific/Bougainville,Canonical,+11:00,Bougainville
Pacific/Chatham,Canonical,+12:45,Chatham
Pacific/Chuuk,Canonical,+10:00,Chuuk
Pacific/Easter,Canonical,-06:00,Easter
Pacific/Efate,Canonical,+11:00,Efate
Pacific/Enderbury,Canonical,+13:00,Enderbury
Pacific/Fakaofo,Canonical,+13:00,Fakaofo
Pacific/Fiji,Canonical,+12:00,Fiji
Pacific/Funafuti,Canonical,+12:00,Funafuti
Pacific/Galapagos,Canonical,-06:00,Galapagos
Pacific/Gambier,Canonical,-09:00,Gambier
Pacific/Guadalcanal,Canonical,+11:00,Guadalcanal
Pacific/Guam,Canonical,+10:00,Guam
Pacific/Honolulu,Canonical,-10:00,Honolulu
Pacific/Kiritimati,Canonical,+14:00,Kiritimati
Pacific/Kosrae,Canonical,+11:00,Kosrae
Pacific/Kwajalein,Canonical,+12:00,Kwajalein
Pacific/Majuro,Canonical,+12:00,Majuro
Pacific/Marquesas,Canonical,-09:30,Marquesas
Pacific/Midway,Alias,-11:00,Midway
Pacific/Nauru,Canonical,+12:00,Nauru
Pacific/Niue,Canonical,-11:00,Niue
Pacific/Norfolk,Canonical,+11:00,Norfolk
Pacific/Noumea,Canonical,+11:00,Noumea
Pacific/Pago_Pago,Canonical,-11:00,Pago Pago
Pacific/Palau,Canonical,+09:00,Palau
Pacific/Pitcairn,Canonical,-08:00,Pitcairn
Pacific/Pohnpei,Canonical,+11:00,Pohnpei
Pacific/Port_Moresby,Canonical,+10:00,Port Moresby
Pacific/Rarotonga,Canonical,-10:00,Rarotonga
Pacific/Saipan,Alias,+10:00,Saipan
Pacific/Tahiti,Canonical,-10:00,Tahiti
Pacific/Tarawa,Canonical,+12:00,Tarawa
Pacific/Tongatapu,Canonical,+13:00,Tongatapu
Pacific/Wake,Canonical,+12:00,Wake
Pacific/Wallis,Canonical,+12:00,Wallis
UTC,Alias,+00:00,
